State;Democratic;Libertarian;Republican;Winner
North Carolina;46.1728661682;2.74436873572;49.8280946962;Republican
Missouri;37.8780714743;3.44307846063;56.3895118;Republican
Vermont;56.6777859947;3.1986847242;30.2694347551;Democratic
North Dakota;27.2267394587;6.224300151;62.9556278313;Republican
Texas;43.235257981;3.16071866179;52.2346855793;Republican
Connecticut;54.5663010967;2.95917126669;40.9269143788;Democratic
Kansas;35.7399634235;4.63743612707;56.1636486142;Republican
Florida;47.4127193298;2.17902910631;48.6010539048;Republican
Wyoming;21.8773573475;5.19329760914;68.1726330765;Republican
Pennsylvania;47.45548192;2.37914621545;48.1737257545;Republican
Illinois;55.2466386149;3.74651885271;38.3599193482;Democratic
Oregon;50.0718520029;4.7084047856;39.0940351845;Democratic
Utah;27.1664680251;3.46344572976;45.0533883758;Republican
Tennessee;34.7163327987;2.80686770916;60.7220336942;Republican
Michigan;47.0297828061;3.5681327291600002;47.2516613947;Republican
Rhode Island;54.4066065704;3.17703126616;38.8980574994;Democratic
Idaho;27.4849261261;4.10336701751;59.246154225;Republican
Arkansas;33.6531241294;2.63825195576;60.5741021638;Republican
Wisconsin;46.4538413722;3.584295146409999;47.2181845673;Republican
New Mexico;48.2556471786;9.33724488582;40.0425143332;Democratic
District of Columbia;90.86382153;1.576133749689999;4.08747445931;Democratic
Maryland;60.3257442352;2.86200055655;33.9093047285;Democratic
Washington;52.5390443642;4.85014151359;36.8329355839;Democratic
West Virginia;26.1766341158;3.18954676102;67.8521860541;Republican
Nevada;47.9178236781;3.32188539922;45.5006953176;Democratic
Alaska;36.5508712901;5.87712800683;51.2815120775;Republican
Louisiana;38.4495660985;1.87172996779;58.0886846536;Republican
Indiana;37.4615820856;4.85864238089;56.4678435348;Republican
South Dakota;31.7374281599;5.63371909223;61.530750379;Republican
Montana;35.4127559174;5.58704082324;55.6452287863;Republican
Mississippi;40.0574524725;1.19190347853;57.8582233496;Republican
Massachusetts;60.0050645916;4.1508598678;32.80835814;Democratic
New Hampshire;46.8262626697;4.1350484216;46.458666982;Democratic
Colorado;48.1565127127;5.18374806267;43.2509773412;Democratic
Hawaii;62.2214917342;3.71942732849;30.0386770085;Democratic
Iowa;41.7404891729;3.779363243769999;51.147327224;Republican
Arizona;44.5804188421;4.08218817295;48.0831449208;Republican
Ohio;43.243057743;3.1517586473;51.3138378421;Republican
New York;59.0060445877;2.28710839786;36.5155884521;Democratic
Alabama;34.357945758;2.09416908577;62.0830923644;Republican
Oklahoma;28.9316802845;5.74545489583;65.3228648196;Republican
South Carolina;40.6734197897;2.33967514445;54.9393326857;Republican
Kentucky;32.6821883336;2.79354665361;62.5196385519;Republican
Virginia;49.7513528334;2.969655153019999;44.4276470139;Democratic
Georgia;45.3455979737;3.02565891857;50.4438426684;Republican
Maine;47.8302026802;5.09474855166;44.8697533315;Democratic
Delaware;53.085977459;3.32504157147;41.7127445281;Democratic
New Jersey;54.9892582607;1.855186559169999;41.0045196447;Democratic
California;61.4823663404;3.36075220166;31.4921093612;Democratic
Minnesota;46.4419962699;3.83616508439;44.9279225107;Democratic
Nebraska;33.6987563771;4.6132142184500005;58.7473511271;Republican
